User ID,Login Name,Mobile / Identifier,Full Name,Age,Gender,Category (Caste),State,District,Annual Family Income (INR),Purpose,Business Type,Project Stage,Project Cost,Required Loan,Education Course,Institution,Course Fee,Own Contribution,Existing Loan,Outstanding Amount,Registered At,Profile Updated At
13,shitt_mann,9087569087,shitt_mann,25,male,SC,Uttar Pradesh,Lucknow,340000.0,business_expansion,tailoring,new,700000.0,100000.0,,,,300000.0,no,,2026-09-05 14:07:58,2026-09-05 14:07:58
12,Sunita Devi,9888615763,Sunita Devi,,,,,,,,,,,,,,,,,,,
11,damn,9763871067,damn,19,prefer_not,SC,Uttar Pradesh,Lucknow,450000.0,education,,,,,B.Con,Lucknow University,600000.0,300000.0,no,,2026-09-05 13:38:20,2026-09-05 13:38:20
10,anb,9238383287,anb,48,male,SC,Uttar Pradesh,Kanpur Nagar,500000.0,new_business,food,new,550000.0,150000.0,,,,400000.0,no,,2026-09-05 10:17:02,2026-09-05 10:17:02
9,fdn,8263899854,fdn,,,,,,,,,,,,,,,,,,,
8,Ahil,9876556789,Ahil,20,female,SC,Uttar Pradesh,Lucknow,230000.0,skill,dairy,new,300000.0,100000.0,,,,200000.0,no,,2026-09-05 02:41:52,2026-09-05 02:42:25
7,qwert,9821653467,qwert,,,,,,,,,,,,,,,,,,,
6,acvf,9872467043,acvf,,,,,,,,,,,,,,,,,,,
5,Test User,8765676029,Test User,28,male,SC,Uttar Pradesh,Lucknow,240000.0,new_business,retail,new,200000.0,150000.0,,,,50000.0,no,,2026-09-04 18:05:36,2026-09-05 03:15:18
4,dsj,9287398239,dsj,,,,,,,,,,,,,,,,,,,
3,baca,9234567801,baca,,,,,,,,,,,,,,,,,,,
2,abc,9123456780,abc,,,,,,,,,,,,,,,,,,,
1,abc,9876543210,abc,,,,,,,,,,,,,,,,,,,
